#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: BlackRabite.png (128 x 256)
# $TexturePacker:SmartUpdate:32124cc290273a3482be566752c99908:8494b77a6bf6a58b78d6bec10f07351f:3b001db8b4d74db621bb79e8a54d0600$
#

rabite_01;0;2;2;22;16;22;16;0.5;0.5
rabite_02;0;27;2;20;16;20;16;0.5;0.5
rabite_03;0;50;2;20;15;20;15;0.5;0.5
rabite_04;0;73;2;22;17;22;17;0.5;0.5
rabite_05;0;98;2;20;22;20;22;0.5;0.5
rabite_06;0;2;27;24;13;24;13;0.5;0.5
rabite_07;0;29;27;22;20;22;20;0.5;0.5
rabite_08;0;54;27;20;18;20;18;0.5;0.5
rabite_09;0;77;27;24;13;24;13;0.5;0.5
rabite_10;0;104;27;16;22;16;22;0.5;0.5
rabite_11;0;2;52;19;19;19;19;0.5;0.5
rabite_12;0;24;52;23;13;23;13;0.5;0.5
rabite_13;0;50;52;24;23;24;23;0.5;0.5
rabite_14;0;77;52;22;20;22;20;0.5;0.5
rabite_15;0;102;52;24;24;24;24;0.5;0.5
rabite_16;0;2;79;22;20;22;20;0.5;0.5
rabite_17;0;27;79;24;24;24;24;0.5;0.5
rabite_18;0;54;79;22;22;22;22;0.5;0.5
rabite_19;0;79;79;33;20;33;20;0.5;0.5
rabite_20;0;2;106;31;22;31;22;0.5;0.5
rabite_21;0;36;106;33;20;33;20;0.5;0.5
rabite_22;0;72;106;31;22;31;22;0.5;0.5
rabite_23;0;2;131;24;13;24;13;0.5;0.5
