#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: BlackRabite.png (128 x 128)
# $TexturePacker:SmartUpdate:fbd5ab0b8b7743965a0aadcb70007c25:8494b77a6bf6a58b78d6bec10f07351f:3b001db8b4d74db621bb79e8a54d0600$
#

rabite_01;0;0;0;22;16;22;16;0.5;0.5
rabite_02;0;22;0;20;16;20;16;0.5;0.5
rabite_03;0;42;0;20;15;20;15;0.5;0.5
rabite_04;0;62;0;22;17;22;17;0.5;0.5
rabite_05;0;84;0;20;22;20;22;0.5;0.5
rabite_06;0;104;0;24;13;24;13;0.5;0.5
rabite_07;0;0;22;22;20;22;20;0.5;0.5
rabite_08;0;22;22;20;18;20;18;0.5;0.5
rabite_09;0;42;22;24;13;24;13;0.5;0.5
rabite_10;0;66;22;16;22;16;22;0.5;0.5
rabite_11;0;82;22;19;19;19;19;0.5;0.5
rabite_12;0;101;22;23;13;23;13;0.5;0.5
rabite_13;0;0;44;24;23;24;23;0.5;0.5
rabite_14;0;24;44;22;20;22;20;0.5;0.5
rabite_15;0;46;44;24;24;24;24;0.5;0.5
rabite_16;0;70;44;22;20;22;20;0.5;0.5
rabite_17;0;92;44;24;24;24;24;0.5;0.5
rabite_18;0;0;68;22;22;22;22;0.5;0.5
rabite_19;0;22;68;33;20;33;20;0.5;0.5
rabite_20;0;55;68;31;22;31;22;0.5;0.5
rabite_21;0;86;68;33;20;33;20;0.5;0.5
rabite_22;0;0;90;31;22;31;22;0.5;0.5
rabite_23;0;31;90;24;13;24;13;0.5;0.5
